frame_id,time_seconds,joint0,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12,joint13,joint14,joint15,joint16,joint17,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,F_hand,F_foot,hand_stress,foot_stress
75,2.5025,"(787.6059052034497, 486.34829418011316)","(693.3988594254077, 328.94909884569114)","(711.5309814349565, 320.6725256805397)","(807.1391458238004, 546.9757084329792)","(736.1216679530676, 579.3922866631556)","(693.3988594254077, 328.94909884569114)","(631.4812754308866, 494.3267369438896)","(569.1116823193206, 518.510734491957)","(666.2345092825218, 548.4633050440161)","(517.3666312920706, 587.1867318788646)","(626.0, 704.0)","(684.3666312920706, 564.1867318788646)","(510.8258984347342, 666.8574480273736)","(460.0971662680833, 760.5565832952013)","(761.875370227437, 383.97844276377646)","(819.4665251682823, 510.14779174688675)","(701.0072580256186, 477.47707559837784)","(829.6059052034497, 486.34829418011316)",1.1710635926228867,1.2125507466576533,-1.5423166963100463,0.8426464966016871,1.3163164083689252,2.1050336143666972,-1.0761452572901538,-0.5403423155282017,229.4394025211916,359.1605974788084,22943.94025211916,35916.05974788084
80,2.6693333333333333,"(787.6059052034497, 486.34829418011316)","(693.3988594254077, 328.94909884569114)","(739.0469783959416, 288.94131216382937)","(807.1391458238004, 546.9757084329792)","(736.1216679530676, 579.3922866631556)","(693.3988594254077, 328.94909884569114)","(631.4812754308866, 494.3267369438896)","(569.1116823193206, 518.510734491957)","(711.8826282530556, 532.4555183621543)","(517.3666312920706, 587.1867318788646)","(626.0, 704.0)","(684.3666312920706, 564.1867318788646)","(510.8258984347342, 666.8574480273736)","(460.0971662680833, 760.5565832952013)","(761.875370227437, 383.97844276377646)","(819.4665251682823, 510.14779174688675)","(701.0072580256186, 477.47707559837784)","(829.6059052034497, 486.34829418011316)",1.3127899642640621,1.2125507466576533,-1.400590324668871,0.8426464966016871,1.296516496718683,2.1050336143666972,-1.0959451689403958,-0.5403423155282017,241.03757016174578,347.5624298382543,24103.75701617458,34756.242983825425
85,2.8361666666666667,"(787.6059052034497, 486.34829418011316)","(693.3988594254077, 328.94909884569114)","(739.0469783959416, 288.94131216382937)","(807.1391458238004, 546.9757084329792)","(736.1216679530676, 579.3922866631556)","(647.750740454874, 344.9568855275529)","(604.620421254687, 525.3024453768687)","(569.1116823193206, 518.510734491957)","(711.8826282530556, 532.4555183621543)","(517.3666312920706, 587.1867318788646)","(626.0, 704.0)","(684.3666312920706, 564.1867318788646)","(510.8258984347342, 666.8574480273736)","(460.0971662680833, 760.5565832952013)","(761.875370227437, 383.97844276377646)","(801.3344031587335, 494.4243649120382)","(701.0072580256186, 477.47707559837784)","(829.6059052034497, 486.34829418011316)",1.3127899642640621,1.3360516484487424,-1.400590324668871,-1.6165548334064261,1.296516496718683,2.1050336143666972,-1.0959451689403958,-0.5403423155282017,249.61528224114303,338.98471775885696,24961.528224114303,33898.47177588569
90,3.003,"(787.6059052034497, 486.34829418011316)","(693.3988594254077, 328.94909884569114)","(739.0469783959416, 288.94131216382937)","(807.1391458238004, 546.9757084329792)","(745.6059052034497, 533.3482941801132)","(693.3988594254077, 328.94909884569114)","(631.4812754308866, 494.3267369438896)","(587.979794521139, 425.01210165735563)","(684.3666312920706, 564.1867318788646)","(563.0147502626044, 571.1789451970028)","(643.3766169258176, 719.0682840500632)","(666.2345092825218, 548.4633050440161)","(510.8258984347342, 666.8574480273736)","(460.0971662680833, 760.5565832952013)","(761.875370227437, 383.97844276377646)","(828.8504001197184, 462.6931513953278)","(701.0072580256186, 477.47707559837784)","(829.6059052034497, 486.34829418011316)",1.3127899642640621,1.2125507466576533,1.0948434175064838,-0.9187083974869008,1.5132406414719106,2.2218224905385133,-1.1305963621762036,-0.42355343935638556,130.03169677088158,458.56830322911844,13003.169677088157,45856.83032291185
95,3.1698333333333335,"(815.1219021644347, 454.6170806634028)","(693.3988594254077, 328.94909884569114)","(711.5309814349565, 320.6725256805397)","(807.1391458238004, 546.9757084329792)","(762.9825221292673, 548.4165782301764)","(738.2914733122103, 312.286169379044)","(631.4812754308866, 494.3267369438896)","(587.979794521139, 425.01210165735563)","(657.505777115871, 595.1624403118439)","(535.4987533016193, 602.9101587137133)","(598.484003039015, 735.7312135167103)","(684.3666312920706, 564.1867318788646)","(573.8506343310855, 665.9179453955751)","(460.0971662680833, 760.5565832952013)","(789.391367188422, 352.2472292470661)","(874.4985190902523, 446.685364713466)","(774.907364149407, 320.5160157303557)","(857.1219021644347, 454.6170806634028)",1.1710635926228867,1.0401850487815052,-1.9379097481086747,-1.091074095363049,1.5073792465824452,2.314828706288931,-1.1914087469552233,0.05010357061765891,135.88683695565194,452.7131630443481,13588.683695565194,45271.31630443481
100,3.3366666666666664,"(815.1219021644347, 454.6170806634028)","(754.276957260973, 437.3320181822883)","(718.0322281333372, 491.76236696682645)","(821.6331344965623, 780.5884741208881)","(773.1219021644347, 501.6170806634028)","(844.8176901183094, 404.6613020337794)","(631.4812754308866, 494.3267369438896)","(632.8724084079415, 408.3491721907085)","(657.505777115871, 595.1624403118439)","(535.4987533016193, 602.9101587137133)","(598.484003039015, 735.7312135167103)","(684.3666312920706, 564.1867318788646)","(573.8506343310855, 665.9179453955751)","(460.0971662680833, 760.5565832952013)","(789.391367188422, 352.2472292470661)","(874.4985190902523, 446.685364713466)","(774.907364149407, 320.5160157303557)","(857.1219021644347, 454.6170806634028)",1.2263951962183646,0.3978835364958666,-0.17222956306460713,-1.15673401620475,1.5073792465824452,2.314828706288931,-1.1914087469552233,0.05010357061765891,95.04494084611343,493.5550591538866,9504.494084611344,49355.50591538866
105,3.5035,"(787.6059052034497, 486.34829418011316)","(693.3988594254077, 328.94909884569114)","(739.0469783959416, 288.94131216382937)","(834.0, 516.0)","(762.9825221292673, 548.4165782301764)","(675.2667374158589, 313.2256720108426)","(631.4812754308866, 494.3267369438896)","(586.4882992451383, 533.5790185420202)","(693.7505062435068, 516.7320915273057)","(544.8826282530556, 555.4555183621543)","(598.484003039015, 735.7312135167103)","(693.7505062435068, 516.7320915273057)","(538.3418953957191, 635.1262345106632)","(469.4810412195195, 713.1019429436424)","(771.2592451788732, 336.5238024122175)","(846.9825221292673, 478.41657823017636)","(774.907364149407, 320.5160157303557)","(829.6059052034497, 486.34829418011316)",1.1747103618305845,1.3335749888314368,-1.5386699271023476,0.6162142904124908,1.3163164083689245,2.221822490538513,-1.5362707765622114,-0.1963672800750742,169.037238382588,419.56276161741204,16903.723838258797,41956.2761617412
110,3.6703333333333337,"(787.6059052034497, 486.34829418011316)","(675.2667374158589, 313.2256720108426)","(739.0469783959416, 288.94131216382937)","(834.0, 516.0)","(762.9825221292673, 548.4165782301764)","(647.750740454874, 344.9568855275529)","(631.4812754308866, 494.3267369438896)","(569.1116823193206, 518.510734491957)","(721.2665032044919, 485.00087801059533)","(544.8826282530556, 555.4555183621543)","(598.484003039015, 735.7312135167103)","(666.2345092825218, 548.4633050440161)","(538.3418953957191, 635.1262345106632)","(460.0971662680833, 760.5565832952013)","(771.2592451788732, 336.5238024122175)","(819.4665251682823, 510.14779174688675)","(774.907364149407, 320.5160157303557)","(829.6059052034497, 486.34829418011316)",1.1747103618305845,1.4623033461434611,-1.5386699271023476,1.092399096087495,1.1907734599008843,2.1663455244179497,-1.6618137250302516,-0.41750386842256626,205.42677833756028,383.17322166243974,20542.677833756028,38317.322166243976
115,3.8371666666666666,"(815.1219021644347, 454.6170806634028)","(754.276957260973, 437.3320181822883)","(718.0322281333372, 491.76236696682645)","(821.6331344965623, 780.5884741208881)","(762.9825221292673, 548.4165782301764)","(826.6855681087607, 388.93787519893084)","(631.4812754308866, 494.3267369438896)","(569.1116823193206, 518.510734491957)","(721.2665032044919, 485.00087801059533)","(544.8826282530556, 555.4555183621543)","(598.484003039015, 735.7312135167103)","(666.2345092825218, 548.4633050440161)","(538.3418953957191, 635.1262345106632)","(460.0971662680833, 760.5565832952013)","(771.2592451788732, 336.5238024122175)","(828.8504001197184, 462.6931513953278)","(774.907364149407, 320.5160157303557)","(829.6059052034497, 486.34829418011316)",1.2263951962183646,0.4950481580106336,-0.09696074898408025,0.12514390795466745,1.1907734599008843,2.1663455244179497,-1.6618137250302516,-0.41750386842256626,143.25454037942214,445.3454596205779,14325.454037942214,44534.54596205779
120,4.004,"(858.6233830741824, 547.9317159499368)","(726.760960299988, 469.0632316989987)","(718.0322281333372, 491.76236696682645)","(907.1641159315188, 468.26099980142783)","(773.1219021644347, 501.6170806634028)","(763.6608322124093, 389.8773778307294)","(686.5132693528567, 430.8643099104689)","(632.8724084079415, 408.3491721907085)","(721.2665032044919, 485.00087801059533)","(544.8826282530556, 555.4555183621543)","(598.484003039015, 735.7312135167103)","(666.2345092825218, 548.4633050440161)","(538.3418953957191, 635.1262345106632)","(460.0971662680833, 760.5565832952013)","(771.2592451788732, 336.5238024122175)","(828.8504001197184, 462.6931513953278)","(774.907364149407, 320.5160157303557)","(829.6059052034497, 486.34829418011316)",3.0179671800846264,0.4883570936697579,0.12026826771964849,-2.255829826639119,1.1907734599008843,2.1663455244179497,-1.6618137250302516,-0.41750386842256626,455.0799776793224,133.52002232067764,45507.99776793224,13352.002232067764
125,4.170833333333333,"(831.1073861131974, 579.6629294666471)","(726.760960299988, 469.0632316989987)","(744.8930823095368, 460.7866585338473)","(907.1641159315188, 468.26099980142783)","(773.1219021644347, 501.6170806634028)","(754.276957260973, 437.3320181822883)","(704.6453913624055, 446.58773674531744)","(632.8724084079415, 408.3491721907085)","(721.2665032044919, 485.00087801059533)","(544.8826282530556, 555.4555183621543)","(598.484003039015, 735.7312135167103)","(666.2345092825218, 548.4633050440161)","(538.3418953957191, 635.1262345106632)","(460.0971662680833, 760.5565832952013)","(805.3768511371846, 477.29307805031044)","(828.8504001197184, 462.6931513953278)","(774.907364149407, 320.5160157303557)","(829.6059052034497, 486.34829418011316)",0.046028314241671975,0.18437066858662376,-2.851670598123306,-2.467702556651795,1.1907734599008843,2.1663455244179497,-1.6618137250302516,-0.41750386842256626,170.56748995969508,418.03251004030494,17056.74899596951,41803.25100403049
130,4.337666666666667,"(895.5232549866037, 468.74586208166744)","(771.6535741867906, 452.4003022323516)","(707.8928480981697, 538.5618645336001)","(907.1641159315188, 468.26099980142783)","(773.1219021644347, 501.6170806634028)","(881.0624192459453, 326.2309532492413)","(704.6453913624055, 446.58773674531744)","(632.8724084079415, 408.3491721907085)","(721.2665032044919, 485.00087801059533)","(544.8826282530556, 555.4555183621543)","(598.484003039015, 735.7312135167103)","(666.2345092825218, 548.4633050440161)","(538.3418953957191, 635.1262345106632)","(460.0971662680833, 760.5565832952013)","(824.9001061237883, 383.0389401319779)","(936.8681122018183, 446.5013671653986)","(782.9001061237883, 383.0389401319779)","(829.6059052034497, 486.34829418011316)",2.8024346808892933,0.5986991733042681,-0.09526423147568464,-2.0533740519341506,1.1907734599008843,2.1663455244179497,-1.6618137250302516,-0.41750386842256626,436.4049231190121,152.19507688098793,43640.49231190121,15219.507688098793
135,4.5045,"(769.4737831939009, 470.6248673452646)","(702.7827343768439, 281.4944584941322)","(720.9148563863928, 273.21788532898074)","(907.1641159315188, 468.26099980142783)","(773.1219021644347, 501.6170806634028)","(675.2667374158589, 313.2256720108426)","(641.620655466054, 447.527239377116)","(569.8476725115901, 409.28867482250706)","(721.2665032044919, 485.00087801059533)","(509.3738893176892, 524.6638074772425)","(598.484003039015, 735.7312135167103)","(721.2665032044919, 485.00087801059533)","(502.8331564603528, 604.3345236257514)","(478.9652784699016, 667.0579504606)","(824.9001061237883, 383.0389401319779)","(828.8504001197184, 462.6931513953278)","(782.9001061237883, 383.0389401319779)","(811.4737831939009, 470.6248673452646)",0.8084573610867087,1.32532233346729,-2.089241551278269,-1.3267508917711288,1.3857535599211799,2.0708067786855917,-1.3563526939093222,-0.7071795487346635,245.01858795960453,343.5814120403955,24501.858795960452,34358.14120403955
140,4.671333333333333,"(796.9897801548859, 438.8936538285542)","(685.4061174510264, 266.4261744440689)","(703.5382394605751, 258.14960127891754)","(907.1641159315188, 468.26099980142783)","(773.1219021644347, 501.6170806634028)","(657.8901204900413, 298.1573879607793)","(631.4812754308866, 494.3267369438896)","(569.8476725115901, 409.28867482250706)","(748.7825001654769, 453.26966449388493)","(509.3738893176892, 524.6638074772425)","(598.484003039015, 735.7312135167103)","(721.2665032044919, 485.00087801059533)","(502.8331564603528, 604.3345236257514)","(478.9652784699016, 667.0579504606)","(824.9001061237883, 383.0389401319779)","(811.4737831939009, 447.6248673452646)","(782.9001061237883, 383.0389401319779)","(794.0971662680834, 455.55658329520134)",0.8010723395334716,1.4369781759546807,-2.0966265728315063,-0.7609799372907584,1.2809821541540474,2.0708067786855917,-1.4611240996764547,-0.7071795487346635,243.7474926765153,344.8525073234847,24374.74926765153,34485.25073234847
145,4.838166666666667,"(779.6131632290683, 423.825369778491)","(685.4061174510264, 266.4261744440689)","(676.0222424995901, 289.8808147956279)","(907.1641159315188, 468.26099980142783)","(773.1219021644347, 501.6170806634028)","(702.7827343768439, 281.4944584941322)","(631.4812754308866, 494.3267369438896)","(569.8476725115901, 409.28867482250706)","(766.9146221750257, 468.9930913287335)","(509.3738893176892, 524.6638074772425)","(598.484003039015, 735.7312135167103)","(739.3986252140406, 500.7243048454439)","(502.8331564603528, 604.3345236257514)","(478.9652784699016, 667.0579504606)","(753.8826282530556, 321.4555183621543)","(838.9897801548859, 415.8936538285542)","(782.9001061237883, 383.0389401319779)","(821.6131632290683, 423.825369778491)",0.6572667727083683,1.2475353467161403,-2.2404321396566096,-0.9504227665292988,1.3579090446230786,1.9836070103929262,-1.3841972092074235,-0.794379317027329,248.1570296468198,340.4429703531802,24815.70296468198,34044.29703531802
150,5.005,"(779.6131632290683, 423.825369778491)","(685.4061174510264, 266.4261744440689)","(703.5382394605751, 258.14960127891754)","(871.6553769961524, 437.469288916516)","(773.1219021644347, 501.6170806634028)","(657.8901204900413, 298.1573879607793)","(641.620655466054, 447.527239377116)","(613.3491534213379, 502.60331010904105)","(714.0292663138416, 423.1330963937585)","(673.814728298814, 335.03203146071144)","(791.1768291733943, 405.146164314019)","(714.0292663138416, 423.1330963937585)","(667.2739954414776, 414.7027476092204)","(652.7899924024626, 429.97153409250996)","(753.8826282530556, 321.4555183621543)","(838.9897801548859, 415.8936538285542)","(739.3986252140406, 289.7243048454439)","(821.6131632290683, 423.825369778491)",0.8176304125777669,1.4623033461434611,-1.746866536782572,0.36575165071660964,2.7133802889329326,1.392405082957293,0.6040657740564788,-0.9901600948979692,253.6223697332474,334.9776302667526,25362.23697332474,33497.76302667526
155,5.171833333333333,"(851.3666312920706, 376.18673187886463)","(702.7827343768439, 281.4944584941322)","(720.9148563863928, 273.21788532898074)","(834.0, 516.0)","(773.1219021644347, 501.6170806634028)","(729.6435885530436, 250.518750061153)","(641.620655466054, 447.527239377116)","(613.3491534213379, 502.60331010904105)","(721.2665032044919, 485.00087801059533)","(673.814728298814, 335.03203146071144)","(791.1768291733943, 405.146164314019)","(748.7825001654769, 453.26966449388493)","(557.8651503823229, 540.8720965923306)","(652.7899924024626, 429.97153409250996)","(798.7752421398582, 304.79258889550715)","(883.2272512569032, 399.9862294456383)","(784.2912391008432, 273.06137537879675)","(865.8506343310855, 407.91794539557503)",1.13489044186483,1.1506086536633138,0.9028869378558043,0.05405695823646228,2.8351488247373973,2.0009855216777326,0.7258343098609434,-0.43267148551939894,123.36468653557648,465.23531346442354,12336.468653557647,46523.53134644235
160,5.338666666666667,"(824.505777115871, 407.16244031184385)","(729.6435885530436, 250.518750061153)","(693.3988594254077, 304.94909884569114)","(861.515996960985, 484.2687864832896)","(727.4737831939009, 517.6248673452645)","(757.1595855140287, 218.78753654444262)","(641.620655466054, 447.527239377116)","(740.8901204900413, 392.1573879607793)","(721.2665032044919, 485.00087801059533)","(564.4058832396593, 461.2013804438217)","(791.1768291733943, 405.146164314019)","(793.7754763512253, 438.01738289575434)","(540.4885334565053, 525.8038125422675)","(652.7899924024626, 429.97153409250996)","(781.3986252140406, 289.7243048454439)","(883.2272512569032, 399.9862294456383)","(756.7752421398582, 304.79258889550715)","(865.8506343310855, 407.91794539557503)",0.8176304125777669,1.10306831732342,-2.0800684997872114,0.5942767607184034,1.7213717658839667,1.90442903136465,0.3929064309493251,-0.37280211120470286,201.3846446300819,387.21535536991814,20138.46446300819,38721.53553699181
165,5.5055,"(860.0145160512373, 437.9541511967556)","(738.2914733122103, 312.286169379044)","(756.4235953217591, 304.00959621389256)","(816.6233830741824, 500.9317159499368)","(727.4737831939009, 517.6248673452645)","(765.15232748841, 281.31046094606484)","(641.620655466054, 447.527239377116)","(577.8404144859715, 471.8115992241292)","(721.2665032044919, 485.00087801059533)","(564.4058832396593, 461.2013804438217)","(791.1768291733943, 405.146164314019)","(793.7754763512253, 438.01738289575434)","(540.4885334565053, 525.8038125422675)","(652.7899924024626, 429.97153409250996)","(789.391367188422, 352.2472292470661)","(874.4985190902523, 446.685364713466)","(756.7752421398582, 304.79258889550715)","(883.9827563406343, 423.6413722304236)",1.27411518181173,0.9316639131908016,-1.682372247044446,0.5678612480764298,1.7213717658839667,1.90442903136465,0.3929064309493251,-0.37280211120470286,226.06138238859677,362.53861761140325,22606.138238859676,36253.861761140324
170,5.6723333333333334,"(897.0147502626044, 360.17894519700286)","(809.308951182943, 373.8695911488676)","(726.760960299988, 445.0632316989987)","(844.1393800351674, 469.2005024332264)","(710.0971662680834, 502.55658329520134)","(899.1945412554942, 341.95438008408985)","(641.620655466054, 447.527239377116)","(560.4637975601538, 456.74331517406597)","(721.2665032044919, 485.00087801059533)","(564.4058832396593, 461.2013804438217)","(791.1768291733943, 405.146164314019)","(793.7754763512253, 438.01738289575434)","(540.4885334565053, 525.8038125422675)","(652.7899924024626, 429.97153409250996)","(871.2842152865917, 257.80909378066616)","(928.875370227437, 383.97844276377646)","(756.7752421398582, 304.79258889550715)","(883.9827563406343, 423.6413722304236)",0.2028092138992199,0.3889894267130565,-2.694889698465758,0.27591501571469834,1.7213717658839667,1.90442903136465,0.3929064309493251,-0.37280211120470286,182.42146137426766,406.17853862573236,18242.146137426767,40617.85386257323
175,5.839166666666667,"(868.0072580256186, 500.47707559837784)","(809.308951182943, 373.8695911488676)","(726.760960299988, 445.0632316989987)","(886.1493656689145, 671.0820546044249)","(710.0971662680834, 502.55658329520134)","(881.0624192459453, 326.2309532492413)","(786.5382394605751, 352.14960127891754)","(678.5205273784753, 392.34138550884666)","(745.8998719124213, 671.8141461317307)","(564.4058832396593, 461.2013804438217)","(791.1768291733943, 405.146164314019)","(863.3014589459574, 608.1677215502425)","(540.4885334565053, 525.8038125422675)","(652.7899924024626, 429.97153409250996)","(806.7679841142395, 367.3155132971293)","(928.875370227437, 383.97844276377646)","(756.7752421398582, 304.79258889550715)","(883.9827563406343, 423.6413722304236)",0.9565891510913431,0.2676234656571319,0.19303085717443913,-0.08858925467766321,2.4303207940040696,1.320981770200098,1.101855459069428,-0.9562493723692547,182.28949833992226,406.31050166007776,18228.949833992225,40631.05016600778
