frame_id,time_seconds,joint0,joint1,joint2,joint3,joint4,joint5,joint6,joint7,joint8,joint9,joint10,joint11,joint12,joint13,joint14,joint15,joint16,joint17,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,F_hand,F_foot,hand_stress,foot_stress
125,4.170833333333333,"(330, 281)","(383, 281)","(422, 258)","(449, 211)","(462, 164)","(343, 305)","(277, 281)","(251, 234)","(422, 422)","(422, 493)","(422, 586)","(370, 422)","(277, 399)","(317, 493)","(383, 305)","(343, 281)","(396, 258)","(356, 281)",2.09223076656664,2.7928216500058864,0.2515852838332744,0.7167351351115951,0.0,1.328349303829041,0.0,0.9260282059686004,361.9065146549776,226.6934853450224,36190.651465497765,22669.348534502238
130,4.337666666666667,"(330, 281)","(396, 305)","(436, 258)","(449, 211)","(462, 164)","(356, 305)","(290, 305)","(264, 258)","(436, 422)","(422, 493)","(422, 563)","(383, 422)","(290, 399)","(317, 446)","(383, 305)","(343, 281)","(396, 258)","(356, 281)",1.8406454827333658,0.0,0.0,-2.0760865148942913,0.1946855393839499,1.328349303829041,0.1946855393839499,0.8069148640572973,302.2026223226999,286.39737767730014,30220.262232269986,28639.737767730014
135,4.5045,"(356, 281)","(396, 281)","(436, 281)","(449, 211)","(462, 164)","(356, 305)","(317, 305)","(277, 281)","(436, 422)","(422, 493)","(409, 563)","(396, 446)","(290, 375)","(304, 493)","(383, 305)","(356, 281)","(396, 258)","(370, 281)",1.7544186529641768,0.0,-0.08622682976918905,-2.601173153319209,0.1946855393839499,0.9806198136284046,0.011063213214669743,0.8625277852093106,366.98750845886343,221.6124915411366,36698.750845886345,22161.24915411366
140,4.671333333333333,"(356, 281)","(396, 281)","(436, 258)","(449, 211)","(462, 140)","(356, 281)","(304, 281)","(264, 281)","(409, 446)","(422, 540)","(409, 633)","(383, 422)","(317, 375)","(304, 493)","(383, 305)","(356, 258)","(409, 234)","(356, 258)",1.8406454827333658,0.0,0.0887564994072505,0.0,3.00416650809285,0.9519815600572117,2.8652814925726373,-2.0798841046485053,357.88793578625985,230.71206421374018,35788.793578625984,23071.206421374016
145,4.838166666666667,"(356, 281)","(383, 258)","(422, 258)","(449, 211)","(462, 164)","(343, 281)","(277, 281)","(264, 281)","(409, 422)","(409, 516)","(396, 610)","(356, 399)","(277, 352)","(317, 422)","(383, 305)","(356, 258)","(396, 234)","(356, 234)",2.09223076656664,0.0,0.2515852838332744,0.0,0.0,1.0341081524909712,-0.13742614549694318,0.5149620382444483,342.6858283052384,245.91417169476165,34268.58283052384,24591.417169476164
150,5.005,"(356, 281)","(370, 258)","(409, 258)","(449, 211)","(462, 164)","(330, 258)","(251, 281)","(251, 234)","(396, 399)","(396, 516)","(396, 610)","(343, 399)","(330, 493)","(317, 422)","(383, 305)","(356, 258)","(383, 211)","(356, 211)",2.2759076749093285,0.2833079643754539,0.43526219217596274,-1.2874883624194426,0.0,3.00416650809285,0.0,2.823073851561632,-251.83954415698668,840.4395441569867,-25183.954415698667,84043.95441569867
155,5.171833333333333,"(356, 281)","(370, 234)","(409, 234)","(462, 234)","(436, 211)","(317, 234)","(251, 281)","(251, 211)","(383, 399)","(383, 493)","(370, 586)","(330, 375)","(330, 493)","(317, 422)","(383, 187)","(356, 258)","(383, 187)","(343, 187)",0.0,0.6188147667376849,-0.724250000748147,-0.9519815600572117,0.0,0.0,-0.13888501552021304,-0.1810926565312183,76.00631427631765,512.5936857236824,7600.631427631765,51259.368572368236
160,5.338666666666667,"(541, 704)","(356, 211)","(396, 211)","(449, 211)","(462, 140)","(304, 211)","(251, 281)","(251, 211)","(370, 375)","(409, 469)","(356, 516)","(317, 352)","(330, 493)","(317, 422)","(383, 164)","(541, 680)","(383, 164)","(594, 657)",0.0,0.9227394408643823,-1.7518889833261153,-0.6480568859305142,2.7483132485358963,0.09193865888222116,1.9029869300172402,-0.08915399764899715,148.9169022312679,439.6830977687321,14891.690223126789,43968.30977687321
165,5.5055,"(462, 704)","(343, 187)","(383, 187)","(436, 211)","(462, 164)","(304, 187)","(251, 258)","(264, 281)","(370, 375)","(436, 422)","(396, 493)","(304, 352)","(251, 328)","(304, 399)","(383, 140)","(475, 680)","(370, 140)","(528, 680)",0.42520501897961793,0.9295525505106026,-1.6508814959146734,-1.1556950893433218,2.1896110935325814,1.1455913078152784,1.6765531841235424,0.5043475315309844,248.4884584487518,340.11154155124825,24848.84584487518,34011.15415512482
170,5.6723333333333334,"(383, 704)","(343, 187)","(383, 187)","(436, 187)","(462, 164)","(290, 187)","(251, 258)","(277, 305)","(356, 352)","(449, 328)","(436, 446)","(304, 352)","(237, 328)","(304, 399)","(383, 140)","(396, 680)","(370, 140)","(449, 704)",0.0,1.0684939486969438,-2.417342652841646,-1.007592566197347,1.318242051016837,1.2268272070715351,1.2085150621327607,0.47040643752564815,250.53155165433802,338.068448345662,25053.1551654338,33806.8448345662
175,5.839166666666667,"(304, 704)","(330, 187)","(370, 187)","(436, 187)","(462, 164)","(290, 187)","(251, 258)","(277, 305)","(370, 328)","(462, 305)","(502, 399)","(304, 352)","(251, 328)","(304, 399)","(370, 140)","(304, 680)","(356, 140)","(356, 680)",0.0,1.0684939486969438,-2.417342652841646,-1.007592566197347,1.3258176636680323,1.1455913078152784,-1.41345389206132,0.5043475315309844,263.8649554681647,324.73504453183534,26386.495546816466,32473.504453183534
180,6.006,"(211, 680)","(343, 187)","(383, 187)","(436, 187)","(449, 187)","(290, 187)","(251, 258)","(277, 305)","(370, 328)","(462, 281)","(515, 352)","(317, 352)","(237, 328)","(304, 399)","(370, 140)","(211, 657)","(356, 140)","(251, 657)",0.0,1.0684939486969438,0.0,-1.007592566197347,1.0984909254643433,1.2793395323170293,-1.4018579518411558,0.5229187627711424,174.35438217122723,414.24561782877277,17435.438217122723,41424.561782877274
185,6.172833333333333,"(132, 680)","(343, 211)","(383, 187)","(436, 211)","(449, 164)","(304, 211)","(251, 281)","(211, 281)","(396, 328)","(462, 281)","(489, 375)","(330, 352)","(264, 375)","(304, 399)","(370, 140)","(132, 657)","(356, 164)","(158, 657)",0.42520501897961793,0.9227394408643823,-1.4154404637537479,0.9227394408643823,0.9519815600572117,1.9061207081099079,-1.9099069410689506,0.8757438815855954,143.174225092104,445.425774907896,14317.422509210399,44542.577490789605
190,6.339666666666667,"(132, 680)","(343, 187)","(383, 187)","(436, 187)","(449, 187)","(304, 187)","(264, 281)","(185, 258)","(396, 328)","(475, 281)","(489, 375)","(330, 352)","(264, 375)","(304, 399)","(370, 140)","(39, 680)","(356, 140)","(66, 657)",0.0,1.1684752289344558,0.0,-1.6898094602798834,1.0341081524909712,1.9061207081099079,-1.9596351358400663,0.8757438815855954,117.0601979315307,471.5398020684693,11706.01979315307,47153.98020684693
195,6.5065,"(132, 680)","(343, 164)","(383, 140)","(422, 187)","(449, 211)","(290, 164)","(237, 211)","(185, 258)","(383, 305)","(462, 258)","(489, 375)","(317, 328)","(237, 352)","(290, 422)","(370, 140)","(39, 680)","(356, 117)","(317, 117)",0.8781544835855919,0.7254700082762402,0.1515121429038664,-0.00946598110435204,1.0341081524909712,1.8622531212727635,-1.880685653044936,1.214196235342249,149.89541091274555,438.7045890872545,14989.541091274554,43870.45890872545
200,6.673333333333333,"(132, 680)","(356, 140)","(383, 140)","(436, 187)","(449, 187)","(317, 164)","(237, 211)","(185, 258)","(383, 305)","(475, 258)","(489, 375)","(317, 328)","(237, 352)","(304, 399)","(370, 140)","(39, 680)","(370, 93)","(343, 93)",0.7254700082762402,0.5311776192257645,0.7254700082762402,-0.20375837015482778,1.0984909254643433,1.8622531212727635,-1.9240098428762837,0.9031837595337414,124.36346810804503,464.236531891955,12436.346810804502,46423.6531891955
205,6.840166666666667,"(132, 680)","(383, 140)","(422, 140)","(462, 211)","(462, 164)","(343, 117)","(304, 140)","(185, 258)","(409, 305)","(489, 258)","(489, 352)","(343, 305)","(251, 328)","(304, 399)","(370, 140)","(39, 680)","(396, 93)","(356, 93)",1.0577384173858575,0.5328438876193888,-0.5130579094090391,-0.24833489153505584,1.0396187075691317,1.8157749899217606,1.0396187075691317,1.1745312136374666,185.54568208897794,403.05431791102205,18554.568208897792,40305.43179110221
210,7.007,"(132, 680)","(409, 117)","(449, 117)","(502, 187)","(462, 164)","(370, 117)","(330, 140)","(185, 258)","(449, 281)","(515, 258)","(502, 352)","(383, 281)","(290, 328)","(317, 422)","(370, 140)","(39, 680)","(422, 70)","(383, 70)",0.9227394408643823,0.5218342798144104,0.40090516104997187,-0.16126068694255746,1.2354719454798853,2.038735754937714,1.098045799982942,1.759031602474083,158.11030596466614,430.48969403533386,15811.030596466613,43048.96940353338
215,7.173833333333333,"(132, 680)","(436, 93)","(475, 93)","(515, 140)","(462, 164)","(396, 117)","(343, 140)","(317, 93)","(475, 258)","(541, 258)","(502, 352)","(409, 281)","(317, 328)","(317, 446)","(370, 140)","(39, 680)","(436, 70)","(409, 70)",0.8656849786804646,0.4094372095261427,-1.8507026559297106,-1.6666493053681486,1.5707963267948966,2.0431017281254498,1.1775169217409998,2.0431017281254498,315.92865287008215,272.6713471299179,31592.865287008215,27267.13471299179
220,7.340666666666667,"(132, 680)","(436, 93)","(475, 93)","(502, 117)","(462, 164)","(396, 93)","(343, 140)","(317, 117)","(475, 258)","(541, 258)","(502, 352)","(409, 258)","(317, 328)","(317, 422)","(370, 140)","(39, 680)","(449, 70)","(409, 70)",0.7266423406817255,0.7254700082762402,-1.549265334227603,-1.691872644565406,1.5707963267948966,2.2212177403384215,1.1775169217409998,2.2212177403384215,255.26643286128484,333.3335671387152,25526.643286128485,33333.356713871515
225,7.5075,"(132, 680)","(436, 70)","(475, 93)","(489, 93)","(462, 164)","(409, 70)","(356, 93)","(343, 93)","(462, 234)","(528, 258)","(502, 352)","(409, 234)","(330, 305)","(317, 422)","(370, 140)","(39, 680)","(449, 46)","(422, 23)",0.0,0.4094372095261427,-1.934189460290127,0.4094372095261427,1.9195673303788034,2.3029116386326525,1.6497181744403342,-0.7280237937832448,175.3290339766401,413.27096602335996,17532.90339766401,41327.096602335994
230,7.674333333333333,"(132, 680)","(449, 70)","(475, 70)","(489, 93)","(462, 164)","(422, 46)","(370, 93)","(330, 93)","(475, 234)","(541, 258)","(502, 352)","(422, 234)","(356, 305)","(317, 422)","(370, 140)","(39, 680)","(462, 46)","(422, 23)",1.0240074859056492,0.7349359893805922,-0.9101819743844779,0.7349359893805922,1.9195673303788034,2.3926746493152944,1.5262879253249066,-0.4271674498778566,151.09822588161018,437.50177411838985,15109.822588161018,43750.17741183898
235,7.841166666666667,"(132, 680)","(475, 70)","(502, 93)","(489, 93)","(462, 164)","(436, 70)","(383, 140)","(396, 117)","(502, 234)","(541, 258)","(515, 352)","(449, 234)","(383, 328)","(330, 422)","(370, 140)","(39, 680)","(475, 46)","(436, 46)",0.0,0.9227394408643823,-1.934189460290127,-0.13360557287148644,2.122451309323443,2.52944015664471,1.852602153384974,-0.09875344586176382,80.03304987289926,508.56695012710077,8003.3049872899255,50856.69501271008
240,8.008,"(436, 46)","(475, 70)","(515, 70)","(489, 93)","(462, 164)","(449, 70)","(383, 140)","(383, 117)","(541, 234)","(502, 352)","(502, 469)","(489, 211)","(383, 305)","(356, 399)","(370, 140)","(436, 46)","(475, 46)","(449, 46)",2.417342652841646,0.8148014516014532,0.4831531925515191,-0.7559948751934433,0.31920603062616215,2.296266335071137,0.31920603062616215,-0.5656221660550251,275.9950757185804,312.60492428141964,27599.507571858037,31260.492428141963
245,8.174833333333334,"(436, 70)","(475, 70)","(502, 70)","(489, 93)","(462, 164)","(462, 70)","(383, 140)","(383, 117)","(568, 187)","(515, 375)","(515, 375)","(541, 211)","(422, 281)","(475, 375)","(422, 70)","(436, 46)","(475, 46)","(462, 46)",2.0852476398539244,0.7250687778577549,0.1510581795637973,-0.8457275489371416,0.27478349909347366,2.102520394053702,0.27478349909347366,1.5891213429703823,224.39024439063496,364.20975560936506,22439.024439063494,36420.9755609365
